record_id,cell_condition,value,unit,sheet,cell
T033-Fig1a-C4,MCF10A,26.38,pN,Fig.1,C4
T033-Fig1a-C5,MCF10A,30.12,pN,Fig.1,C5
T033-Fig1a-C6,MCF10A,34.1,pN,Fig.1,C6
T033-Fig1a-C7,MCF10A,27.69,pN,Fig.1,C7
T033-Fig1a-C8,MCF10A,30.1,pN,Fig.1,C8
T033-Fig1a-C9,MCF10A,30.16,pN,Fig.1,C9
T033-Fig1a-C10,MCF10A,31.21,pN,Fig.1,C10
T033-Fig1a-C11,MCF10A,29.72,pN,Fig.1,C11
T033-Fig1a-C12,MCF10A,24.94,pN,Fig.1,C12
T033-Fig1a-C13,MCF10A,23.8,pN,Fig.1,C13
T033-Fig1a-C14,MCF10A,33.53,pN,Fig.1,C14
T033-Fig1a-C15,MCF10A,30.08,pN,Fig.1,C15
T033-Fig1a-C16,MCF10A,26.23,pN,Fig.1,C16
T033-Fig1a-C17,MCF10A,36.23,pN,Fig.1,C17
T033-Fig1a-C18,MCF10A,34.58,pN,Fig.1,C18
T033-Fig1a-C19,MCF10A,42.97,pN,Fig.1,C19
T033-Fig1a-C20,MCF10A,35.43,pN,Fig.1,C20
T033-Fig1a-C21,MCF10A,30.71,pN,Fig.1,C21
T033-Fig1a-C22,MCF10A,37.4,pN,Fig.1,C22
T033-Fig1a-C23,MCF10A,33.85,pN,Fig.1,C23
T033-Fig1a-C24,MCF10A,33.71,pN,Fig.1,C24
T033-Fig1a-C25,MCF10A,31.49,pN,Fig.1,C25
T033-Fig1a-C26,MCF10A,33.69,pN,Fig.1,C26
T033-Fig1a-C27,MCF10A,29.39,pN,Fig.1,C27
T033-Fig1a-C28,MCF10A,35.2,pN,Fig.1,C28
T033-Fig1a-C29,MCF10A,28.52,pN,Fig.1,C29
T033-Fig1a-C30,MCF10A,27.64,pN,Fig.1,C30
T033-Fig1a-C31,MCF10A,29.17,pN,Fig.1,C31
T033-Fig1a-C32,MCF10A,38.03,pN,Fig.1,C32
T033-Fig1a-C33,MCF10A,26.22,pN,Fig.1,C33
T033-Fig1a-C34,MCF10A,29.08,pN,Fig.1,C34
T033-Fig1a-C35,MCF10A,41.93,pN,Fig.1,C35
T033-Fig1a-C36,MCF10A,34.64,pN,Fig.1,C36
T033-Fig1a-C37,MCF10A,30.75,pN,Fig.1,C37
T033-Fig1a-C38,MCF10A,32.84,pN,Fig.1,C38
T033-Fig1a-G4,MCF7,31.39,pN,Fig.1,G4
T033-Fig1a-G5,MCF7,33.57,pN,Fig.1,G5
T033-Fig1a-G6,MCF7,27.76,pN,Fig.1,G6
T033-Fig1a-G7,MCF7,24.62,pN,Fig.1,G7
T033-Fig1a-G8,MCF7,34.68,pN,Fig.1,G8
T033-Fig1a-G9,MCF7,27.7,pN,Fig.1,G9
T033-Fig1a-G10,MCF7,29.8,pN,Fig.1,G10
T033-Fig1a-G11,MCF7,34.3,pN,Fig.1,G11
T033-Fig1a-G12,MCF7,24.31,pN,Fig.1,G12
T033-Fig1a-G13,MCF7,32.91,pN,Fig.1,G13
T033-Fig1a-G14,MCF7,20.82,pN,Fig.1,G14
T033-Fig1a-G15,MCF7,40.96,pN,Fig.1,G15
T033-Fig1a-G16,MCF7,34.13,pN,Fig.1,G16
T033-Fig1a-G17,MCF7,25.42,pN,Fig.1,G17
T033-Fig1a-G18,MCF7,27.04,pN,Fig.1,G18
T033-Fig1a-G19,MCF7,37.33,pN,Fig.1,G19
T033-Fig1a-G20,MCF7,30.01,pN,Fig.1,G20
T033-Fig1a-G21,MCF7,31.89,pN,Fig.1,G21
T033-Fig1a-G22,MCF7,28.56,pN,Fig.1,G22
T033-Fig1a-G23,MCF7,36.65,pN,Fig.1,G23
T033-Fig1a-G24,MCF7,23.42,pN,Fig.1,G24
T033-Fig1a-G25,MCF7,25.23,pN,Fig.1,G25
T033-Fig1a-G26,MCF7,22.64,pN,Fig.1,G26
T033-Fig1a-H4,MDA-MB-231 with ruffling,25.04,pN,Fig.1,H4
T033-Fig1a-H5,MDA-MB-231 with ruffling,24.05,pN,Fig.1,H5
T033-Fig1a-H6,MDA-MB-231 with ruffling,25.29,pN,Fig.1,H6
T033-Fig1a-H7,MDA-MB-231 with ruffling,24,pN,Fig.1,H7
T033-Fig1a-H8,MDA-MB-231 with ruffling,23.19,pN,Fig.1,H8
T033-Fig1a-H9,MDA-MB-231 with ruffling,19.31,pN,Fig.1,H9
T033-Fig1a-H10,MDA-MB-231 with ruffling,21.28,pN,Fig.1,H10
T033-Fig1a-H11,MDA-MB-231 with ruffling,21.63,pN,Fig.1,H11
T033-Fig1a-H12,MDA-MB-231 with ruffling,22.04,pN,Fig.1,H12
T033-Fig1a-H13,MDA-MB-231 with ruffling,17.74,pN,Fig.1,H13
T033-Fig1a-H14,MDA-MB-231 with ruffling,18.41,pN,Fig.1,H14
T033-Fig1a-H15,MDA-MB-231 with ruffling,21.12,pN,Fig.1,H15
T033-Fig1a-H16,MDA-MB-231 with ruffling,25.54,pN,Fig.1,H16
T033-Fig1a-H17,MDA-MB-231 with ruffling,20.58,pN,Fig.1,H17
T033-Fig1a-H18,MDA-MB-231 with ruffling,24.13,pN,Fig.1,H18
T033-Fig1a-H19,MDA-MB-231 with ruffling,21.4,pN,Fig.1,H19
T033-Fig1a-H20,MDA-MB-231 with ruffling,18.27,pN,Fig.1,H20
T033-Fig1a-H21,MDA-MB-231 with ruffling,25.78,pN,Fig.1,H21
T033-Fig1a-H22,MDA-MB-231 with ruffling,19.98,pN,Fig.1,H22
T033-Fig1a-H23,MDA-MB-231 with ruffling,22.66,pN,Fig.1,H23
T033-Fig1a-H24,MDA-MB-231 with ruffling,28.69,pN,Fig.1,H24
T033-Fig1a-H25,MDA-MB-231 with ruffling,22.44,pN,Fig.1,H25
T033-Fig1a-H26,MDA-MB-231 with ruffling,16.67,pN,Fig.1,H26
T033-Fig1a-H27,MDA-MB-231 with ruffling,22.33,pN,Fig.1,H27
T033-Fig1a-I4,MDA-MB-231with blebbing,29.76,pN,Fig.1,I4
T033-Fig1a-I5,MDA-MB-231with blebbing,22.03,pN,Fig.1,I5
T033-Fig1a-I6,MDA-MB-231with blebbing,22.29,pN,Fig.1,I6
T033-Fig1a-I7,MDA-MB-231with blebbing,25.74,pN,Fig.1,I7
T033-Fig1a-I8,MDA-MB-231with blebbing,19.45,pN,Fig.1,I8
T033-Fig1a-I9,MDA-MB-231with blebbing,24.67,pN,Fig.1,I9
T033-Fig1a-I10,MDA-MB-231with blebbing,25.51,pN,Fig.1,I10
T033-Fig1a-I11,MDA-MB-231with blebbing,22.77,pN,Fig.1,I11
T033-Fig1a-I12,MDA-MB-231with blebbing,22.94,pN,Fig.1,I12
T033-Fig1a-I13,MDA-MB-231with blebbing,21.88,pN,Fig.1,I13
T033-Fig1a-I14,MDA-MB-231with blebbing,21.98,pN,Fig.1,I14
T033-Fig1a-I15,MDA-MB-231with blebbing,20.97,pN,Fig.1,I15
T033-Fig1a-I16,MDA-MB-231with blebbing,27.21,pN,Fig.1,I16
T033-Fig1a-I17,MDA-MB-231with blebbing,21.03,pN,Fig.1,I17
